jobid mutator crossover repair generator D mu eps repl
548 bf on off scorr 2 50 0.5 8
549 bf on off scorr 2 50 0.5 9
550 bf on off scorr 2 50 0.5 10
551 bf on off scorr 2 50 0.9 1
552 bf on off scorr 2 50 0.9 2
553 bf on off scorr 2 50 0.9 3
554 bf on off scorr 2 50 0.9 4
555 bf on off scorr 2 50 0.9 5
556 bf on off scorr 2 50 0.9 6
557 bf on off scorr 2 50 0.9 7
558 bf on off scorr 2 50 0.9 8
559 bf on off scorr 2 50 0.9 9
560 bf on off scorr 2 50 0.9 10
561 bf on off scorr 2 100 0.1 1
562 bf on off scorr 2 100 0.1 2
563 bf on off scorr 2 100 0.1 3
564 bf on off scorr 2 100 0.1 4
565 bf on off scorr 2 100 0.1 5
566 bf on off scorr 2 100 0.1 6
567 bf on off scorr 2 100 0.1 7
568 bf on off scorr 2 100 0.1 8
569 bf on off scorr 2 100 0.1 9
570 bf on off scorr 2 100 0.1 10
571 bf on off scorr 2 100 0.2 1
572 bf on off scorr 2 100 0.2 2
573 bf on off scorr 2 100 0.2 3
574 bf on off scorr 2 100 0.2 4
575 bf on off scorr 2 100 0.2 5
576 bf on off scorr 2 100 0.2 6
577 bf on off scorr 2 100 0.2 7
578 bf on off scorr 2 100 0.2 8
579 bf on off scorr 2 100 0.2 9
580 bf on off scorr 2 100 0.2 10
581 bf on off scorr 2 100 0.5 1
582 bf on off scorr 2 100 0.5 2
583 bf on off scorr 2 100 0.5 3
584 bf on off scorr 2 100 0.5 4
585 bf on off scorr 2 100 0.5 5
586 bf on off scorr 2 100 0.5 6
587 bf on off scorr 2 100 0.5 7
588 bf on off scorr 2 100 0.5 8
589 bf on off scorr 2 100 0.5 9
590 bf on off scorr 2 100 0.5 10
591 bf on off scorr 2 100 0.9 1
592 bf on off scorr 2 100 0.9 2
593 bf on off scorr 2 100 0.9 3
594 bf on off scorr 2 100 0.9 4
595 bf on off scorr 2 100 0.9 5
596 bf on off scorr 2 100 0.9 6
597 bf on off scorr 2 100 0.9 7
598 bf on off scorr 2 100 0.9 8
599 bf on off scorr 2 100 0.9 9
600 bf on off scorr 2 100 0.9 10
601 bf on off scorr 2 200 0.1 1
602 bf on off scorr 2 200 0.1 2
603 bf on off scorr 2 200 0.1 3
604 bf on off scorr 2 200 0.1 4
605 bf on off scorr 2 200 0.1 5
606 bf on off scorr 2 200 0.1 6
607 bf on off scorr 2 200 0.1 7
608 bf on off scorr 2 200 0.1 8
609 bf on off scorr 2 200 0.1 9
610 bf on off scorr 2 200 0.1 10
611 bf on off scorr 2 200 0.2 1
612 bf on off scorr 2 200 0.2 2
613 bf on off scorr 2 200 0.2 3
614 bf on off scorr 2 200 0.2 4
615 bf on off scorr 2 200 0.2 5
616 bf on off scorr 2 200 0.2 6
617 bf on off scorr 2 200 0.2 7
618 bf on off scorr 2 200 0.2 8
619 bf on off scorr 2 200 0.2 9
620 bf on off scorr 2 200 0.2 10
621 bf on off scorr 2 200 0.5 1
622 bf on off scorr 2 200 0.5 2
623 bf on off scorr 2 200 0.5 3
624 bf on off scorr 2 200 0.5 4
625 bf on off scorr 2 200 0.5 5
626 bf on off scorr 2 200 0.5 6
627 bf on off scorr 2 200 0.5 7
628 bf on off scorr 2 200 0.5 8
629 bf on off scorr 2 200 0.5 9
630 bf on off scorr 2 200 0.5 10
631 bf on off scorr 2 200 0.9 1
632 bf on off scorr 2 200 0.9 2
633 bf on off scorr 2 200 0.9 3
634 bf on off scorr 2 200 0.9 4
635 bf on off scorr 2 200 0.9 5
636 bf on off scorr 2 200 0.9 6
637 bf on off scorr 2 200 0.9 7
638 bf on off scorr 2 200 0.9 8
639 bf on off scorr 2 200 0.9 9
640 bf on off scorr 2 200 0.9 10
641 bf on off scorr 5 25 0.1 1
642 bf on off scorr 5 25 0.1 2
643 bf on off scorr 5 25 0.1 3
644 bf on off scorr 5 25 0.1 4
645 bf on off scorr 5 25 0.1 5
646 bf on off scorr 5 25 0.1 6
647 bf on off scorr 5 25 0.1 7
648 bf on off scorr 5 25 0.1 8
649 bf on off scorr 5 25 0.1 9
650 bf on off scorr 5 25 0.1 10
651 bf on off scorr 5 25 0.2 1
652 bf on off scorr 5 25 0.2 2
653 bf on off scorr 5 25 0.2 3
654 bf on off scorr 5 25 0.2 4
655 bf on off scorr 5 25 0.2 5
656 bf on off scorr 5 25 0.2 6
657 bf on off scorr 5 25 0.2 7
658 bf on off scorr 5 25 0.2 8
659 bf on off scorr 5 25 0.2 9
660 bf on off scorr 5 25 0.2 10
661 bf on off scorr 5 25 0.5 1
662 bf on off scorr 5 25 0.5 2
663 bf on off scorr 5 25 0.5 3
664 bf on off scorr 5 25 0.5 4
665 bf on off scorr 5 25 0.5 5
666 bf on off scorr 5 25 0.5 6
667 bf on off scorr 5 25 0.5 7
668 bf on off scorr 5 25 0.5 8
669 bf on off scorr 5 25 0.5 9
670 bf on off scorr 5 25 0.5 10
