"jobid" "mutator" "crossover" "repair" "generator" "D" "mu" "eps" "repl" "iters" "time_passed" "entropy" "iters_without_improvement" "repair_operations" "repair_success"
243 "bf" "on" "off" "uncorr" 5 100 0.1 3 10000 10 25.3714155751036 9054 16558 397
244 "bf" "on" "off" "uncorr" 5 100 0.1 4 10000 9 25.3540417485444 9050 16466 384
245 "bf" "on" "off" "uncorr" 5 100 0.1 5 10000 10 25.527631568459 9061 16483 407
246 "bf" "on" "off" "uncorr" 5 100 0.1 6 10000 10 25.3107136641532 9069 16469 381
247 "bf" "on" "off" "uncorr" 5 100 0.1 7 10000 10 25.3590247137716 9022 16459 391
248 "bf" "on" "off" "uncorr" 5 100 0.1 8 10000 10 25.4041569537886 9040 16393 405
249 "bf" "on" "off" "uncorr" 5 100 0.1 9 10000 10 25.4005057777112 9056 16478 392
250 "bf" "on" "off" "uncorr" 5 100 0.1 10 10000 10 25.144234608063 9091 16556 403
251 "bf" "on" "off" "uncorr" 5 100 0.2 1 10000 9 30.8014692452649 8906 16396 570
252 "bf" "on" "off" "uncorr" 5 100 0.2 2 10000 11 30.9115197298541 8894 16411 610
253 "bf" "on" "off" "uncorr" 5 100 0.2 3 10000 12 30.892298149614 8897 16322 621
254 "bf" "on" "off" "uncorr" 5 100 0.2 4 10000 10 30.787731481314 8900 16411 564
255 "bf" "on" "off" "uncorr" 5 100 0.2 5 10000 11 30.8243515745969 8983 16483 551
256 "bf" "on" "off" "uncorr" 5 100 0.2 6 10000 11 30.8881685068694 8872 16490 634
257 "bf" "on" "off" "uncorr" 5 100 0.2 7 10000 12 30.8975611544181 8833 16366 666
258 "bf" "on" "off" "uncorr" 5 100 0.2 8 10000 9 31.0090618063048 8948 16591 611
259 "bf" "on" "off" "uncorr" 5 100 0.2 9 10000 13 30.7884162446807 8895 16450 585
260 "bf" "on" "off" "uncorr" 5 100 0.2 10 10000 12 30.9730327290701 8916 16360 633
261 "bf" "on" "off" "uncorr" 5 100 0.5 1 10000 52 36.7424377808264 9169 11239 3015
262 "bf" "on" "off" "uncorr" 5 100 0.5 2 10000 39 36.7431722677715 9308 13653 2843
263 "bf" "on" "off" "uncorr" 5 100 0.5 3 10000 42 36.7438250282803 9275 13602 2859
264 "bf" "on" "off" "uncorr" 5 100 0.5 4 10000 40 36.7437256439908 9287 13492 3036
265 "bf" "on" "off" "uncorr" 5 100 0.5 5 10000 49 36.7412857891479 9135 11861 3182
266 "bf" "on" "off" "uncorr" 5 100 0.5 6 10000 48 36.7404262181674 9142 12405 3264
267 "bf" "on" "off" "uncorr" 5 100 0.5 7 10000 41 36.7449256383074 9305 13689 2732
268 "bf" "on" "off" "uncorr" 5 100 0.5 8 10000 39 36.741072566364 9267 13434 2910
269 "bf" "on" "off" "uncorr" 5 100 0.5 9 10000 40 36.7414600300226 9218 12828 2930
270 "bf" "on" "off" "uncorr" 5 100 0.5 10 10000 48 36.7444814592394 9195 12240 3203
271 "bf" "on" "off" "uncorr" 5 100 0.9 1 10000 60 36.7872552216973 8700 5436 288
